,Row,ASIN,TITLE,GROUP,SALES_RANK,TIMES_REVIEWED,TIMES_DOWNLOADED,AVERAGE_RATING,MAIN_CATEGORY,SUB_CATEGORIES
0,0,B00000AU3R,Batik,Music,5392,3,3,4.5,Jazz[34],['General[63926]']
1,0,B00000AU3R,Batik,Music,5392,3,3,4.5,Jazz[34],['Modern Postbebop[63929]']
2,1,B00004W1W1,Later...,Music,390624,0,0,0.0,Jazz[34],['General[63926]']
3,2,B000007R0T,Sol to Soul,Music,109301,15,15,5.0,Jazz[34],['General[63926]']
4,3,B00005NTSV,Come What May,Music,83369,4,4,4.5,Jazz[34],['General[63926]']
5,3,B00005NTSV,Come What May,Music,83369,4,4,4.5,Jazz[34],"['Vocal Jazz[598170]', 'Vocal Jazz General[63934]']"
6,3,B00005NTSV,Come What May,Music,83369,4,4,4.5,Broadway & Vocalists[265640],['Traditional Vocal Pop[513060]']
7,4,B000002O8D,"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",Music,89264,6,6,4.0,Rock[40],['Blues Rock[67203]']
8,4,B000002O8D,"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",Music,89264,6,6,4.0,Classic Rock[67204],['Southern Rock[67222]']
9,4,B000002O8D,"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",Music,89264,6,6,4.0,Classic Rock[67204],['Album-Oriented Rock (AOR)[408254]']
10,4,B000002O8D,"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",Music,89264,6,6,4.0,Classic Rock[67204],"['Live Albums[554478]', 'Southern Rock[497322]']"
11,4,B000002O8D,"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",Music,89264,6,6,4.0,Classic Rock[67204],['Arena Rock[599868]']
12,5,B00004W1WI,Murder She Wrote,Music,68749,0,0,0.0,,
13,6,B00004W1WK,Still Life,Music,110723,1,1,5.0,Rock[40],['General[67206]']
14,7,B00005ARCQ,Desde Que Samba E Samba,Music,380534,0,0,0.0,International[33],"['South & Central America[63761]', 'Brazil[63766]']"
15,7,B00005ARCQ,Desde Que Samba E Samba,Music,380534,0,0,0.0,International[33],['General[63848]']
16,7,B00005ARCQ,Desde Que Samba E Samba,Music,380534,0,0,0.0,Latin Music[289122],['General[63851]']
17,7,B00005ARCQ,Desde Que Samba E Samba,Music,380534,0,0,0.0,International[33],"['Latin Music[63849]', 'Samba[292819]']"
18,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],"['Featured Composers, A-Z[5338]', '( B )[7346]', 'Brahms, Johannes[11397]', 'All Works by Brahms[11426]']"
19,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],"['Forms & Genres[36632]', 'Concertos[36636]', 'Concertinos[36637]']"
20,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],"['Forms & Genres[36632]', 'Concertos[36636]', 'General[36639]']"
21,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],"['Instruments[38374]', 'Strings[38439]', 'Violin[38469]']"
22,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],"['Featured Performers, A-Z[38472]', '( B )[39670]', 'Berlin Philharmonic Orchestra[40626]']"
23,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],"['Featured Performers, A-Z[38472]', '( S )[58403]', 'Shaham, Gil[59342]']"
24,8,B0000646IJ,Brahms: Violin Concerto; Double Concerto,Music,78552,7,7,4.5,Classical[85],['General[300358]']
25,9,B00003Q5AZ,Cocktail Hour: Lena Horne,Music,159210,0,0,0.0,Jazz[34],['General[63926]']
26,9,B00003Q5AZ,Cocktail Hour: Lena Horne,Music,159210,0,0,0.0,Jazz[34],"['Vocal Jazz[598170]', 'Vocal Jazz General[63934]']"
27,9,B00003Q5AZ,Cocktail Hour: Lena Horne,Music,159210,0,0,0.0,Pop[37],"['Vocal Pop[406646]', 'General[513062]']"
28,10,B00003Q5AH,Bloomfield Blues,Music,209843,1,1,4.0,Blues[31],['Chicago Blues[5234]']
29,10,B00003Q5AH,Bloomfield Blues,Music,209843,1,1,4.0,Blues[31],['General[5243]']
30,10,B00003Q5AH,Bloomfield Blues,Music,209843,1,1,4.0,Rock[40],['Blues Rock[67203]']
31,10,B00003Q5AH,Bloomfield Blues,Music,209843,1,1,4.0,Blues[31],['Modern Blues[13463691]']
32,11,B00003Q5AA,The McClurkin Project,Music,54277,10,10,4.0,Christian & Gospel[173429],['General[63941]']
33,11,B00003Q5AA,The McClurkin Project,Music,54277,10,10,4.0,Christian & Gospel[173429],['Gospel[63943]']
34,12,B000000HFH,"What's on Your Mind (Pure Energy) [Tommy Boy CD5/12"")",Music,135746,4,4,5.0,Dance & DJ[7],['General[63709]']
35,12,B000000HFH,"What's on Your Mind (Pure Energy) [Tommy Boy CD5/12"")",Music,135746,4,4,5.0,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
36,13,B000000HFB,Running,Music,174625,2,2,3.5,Dance & DJ[7],['General[63709]']
37,13,B000000HFB,Running,Music,174625,2,2,3.5,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
38,14,B000003ONE,Lush Mechanique,Music,143154,4,4,5.0,New Age[36],['General[63957]']
39,14,B000003ONE,Lush Mechanique,Music,143154,4,4,5.0,Classical[85],['General[300358]']
40,15,B000003ONN,George Morgan - 14 Greatest Hits,Music,107310,3,3,4.0,Country[16],['General[63695]']
41,15,B000003ONN,George Morgan - 14 Greatest Hits,Music,107310,3,3,4.0,Country[16],"['Traditional Country[63700]', 'Nashville Sound[63697]']"
42,16,B000003ONH,Adults Only,Music,202317,3,3,3.5,R&B[39],['Classic R&B[67180]']
43,16,B000003ONH,Adults Only,Music,202317,3,3,3.5,R&B[39],['General[67184]']
44,16,B000003ONH,Adults Only,Music,202317,3,3,3.5,R&B[39],['Motown[67185]']
45,16,B000003ONH,Adults Only,Music,202317,3,3,3.5,R&B[39],"['Soul[67186]', 'General[67188]']"
46,16,B000003ONH,Adults Only,Music,202317,3,3,3.5,R&B[39],['Quiet Storm[470504]']
47,17,B00005R8FW,In Flight [Bonus Tracks],Music,276541,0,0,0.0,Rock[40],['Blues Rock[67203]']
48,18,B000003ONP,Johnny Bush - 14 Greatest Hits,Music,12361,7,7,5.0,Country[16],['General[63695]']
49,18,B000003ONP,Johnny Bush - 14 Greatest Hits,Music,12361,7,7,5.0,Country[16],['Honky-Tonk[63696]']
50,19,B000000HF0,One More Night,Music,151615,5,5,5.0,Dance & DJ[7],['General[63709]']
51,19,B000000HF0,One More Night,Music,151615,5,5,5.0,R&B[39],['General[67184]']
52,19,B000000HF0,One More Night,Music,151615,5,5,5.0,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
53,19,B000000HF0,One More Night,Music,151615,5,5,5.0,Dance & DJ[7],"['Dance Pop[63704]', 'Euro Dance[467946]']"
54,19,B000000HF0,One More Night,Music,151615,5,5,5.0,Pop[37],"['Euro Pop[604222]', 'General[604224]']"
55,20,B0000262WI,The KÌ¦ln Concert,Music,581,82,82,4.5,Jazz[34],['General[63926]']
56,20,B0000262WI,The KÌ¦ln Concert,Music,581,82,82,4.5,Jazz[34],['Modern Postbebop[63929]']
57,20,B0000262WI,The KÌ¦ln Concert,Music,581,82,82,4.5,Jazz[34],"['Live Albums[497302]', 'Modern Postbebop[497306]']"
58,20,B0000262WI,The KÌ¦ln Concert,Music,581,82,82,4.5,Jazz[34],"['Live Albums[497302]', 'General[497314]']"
59,21,B00002MO9L,Celtic Glory,Music,110754,3,3,4.0,Folk[32],"['Contemporary Folk[598642]', 'General[63714]']"
60,21,B00002MO9L,Celtic Glory,Music,110754,3,3,4.0,Folk[32],['General[63716]']
61,21,B00002MO9L,Celtic Glory,Music,110754,3,3,4.0,Rock[40],['General[67206]']
62,21,B00002MO9L,Celtic Glory,Music,110754,3,3,4.0,International[33],"['Celtic[63760]', 'Rock[13463791]']"
63,22,B000023XRD,Greatest Hits,Music,385053,0,0,0.0,,
64,23,B00004T42Y,Goodnight Sweetheart,Music,136605,0,0,0.0,Pop[37],"['Easy Listening[67171]', 'General[468118]']"
65,23,B00004T42Y,Goodnight Sweetheart,Music,136605,0,0,0.0,Broadway & Vocalists[265640],['Traditional Vocal Pop[513060]']
66,23,B00004T42Y,Goodnight Sweetheart,Music,136605,0,0,0.0,Pop[37],"['Vocal Pop[406646]', 'General[513062]']"
67,24,B00005LAPA,Bad Boys Best 2001,Music,201082,0,0,0.0,Dance & DJ[7],['Freestyle[63708]']
68,24,B00005LAPA,Bad Boys Best 2001,Music,201082,0,0,0.0,Dance & DJ[7],['General[63709]']
69,24,B00005LAPA,Bad Boys Best 2001,Music,201082,0,0,0.0,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
70,25,B00005LAPN,Riddle,Music,379745,1,1,5.0,Dance & DJ[7],['General[63709]']
71,26,B00005LAPH,No Limits,Music,196946,0,0,0.0,,
72,27,B0000506TM,Singin' Some Soul,Music,72828,2,2,5.0,Dance & DJ[7],['Disco[63705]']
73,27,B0000506TM,Singin' Some Soul,Music,72828,2,2,5.0,Latin Music[289122],['General[63851]']
74,27,B0000506TM,Singin' Some Soul,Music,72828,2,2,5.0,Latin Music[289122],['Salsa[63854]']
75,28,B000068GAS,Roadside (2001 Off-Broadway Cast),Music,142832,2,2,5.0,Opera & Vocal[84],"['Vocal Non-Opera[67104]', 'Musical Theater[67134]']"
76,28,B000068GAS,Roadside (2001 Off-Broadway Cast),Music,142832,2,2,5.0,Broadway & Vocalists[265640],"['Musicals[510678]', 'General[67227]']"
77,28,B000068GAS,Roadside (2001 Off-Broadway Cast),Music,142832,2,2,5.0,Soundtracks[42],['General[292522]']
78,28,B000068GAS,Roadside (2001 Off-Broadway Cast),Music,142832,2,2,5.0,Classical[85],['General[300358]']
79,28,B000068GAS,Roadside (2001 Off-Broadway Cast),Music,142832,2,2,5.0,Classical[85],"['Forms & Genres[36632]', 'Theatrical, Incidental & Program Music[36684]', 'General[572184]']"
80,29,B000002NH0,Cowboy,Music,31140,51,51,4.5,Alternative Rock[30],['General[5191]']
81,29,B000002NH0,Cowboy,Music,31140,51,51,4.5,Dance & DJ[7],['General[63709]']
82,29,B000002NH0,Cowboy,Music,31140,51,51,4.5,Dance & DJ[7],"['Dance Pop[63704]', 'General[467944]']"
83,30,B000068GAK,Libre,Music,7667,22,22,4.5,Latin Music[289122],['General[63851]']
84,31,B00004TAU0,Motown Party,Music,164437,2,2,5.0,R&B[39],['General[67184]']
85,31,B00004TAU0,Motown Party,Music,164437,2,2,5.0,R&B[39],"['Soul[67186]', 'General[67188]']"
86,32,B000002ANX,Higher Ground,Music,21678,0,0,0.0,Broadway & Vocalists[265640],['Classic Vocalists[67178]']
87,32,B000002ANX,Higher Ground,Music,21678,0,0,0.0,Pop[37],"['Vocal Pop[406646]', 'Contemporary[285743]']"
88,32,B000002ANX,Higher Ground,Music,21678,0,0,0.0,Pop[37],"['Adult Contemporary[67167]', 'General[468116]']"
89,32,B000002ANX,Higher Ground,Music,21678,0,0,0.0,Broadway & Vocalists[265640],['Traditional Vocal Pop[513060]']
90,32,B000002ANX,Higher Ground,Music,21678,0,0,0.0,Pop[37],"['Vocal Pop[406646]', 'General[513062]']"
91,32,B000002ANX,Higher Ground,Music,21678,0,0,0.0,Broadway & Vocalists[265640],['General[912012]']
92,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],['General[63926]']
93,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],['Jazz Fusion[63927]']
94,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Jazz[34],"['Vocal Jazz[598170]', 'Vocal Jazz General[63934]']"
95,33,B000002NHZ,Best of Smooth Jazz,Music,7996,6,6,5.0,Pop[37],['General[67172]']
